Id,Supermercado,Marca,Producto,Precio,Categoria,Enlace,Fecha,porMayor,ProductoNormalizado
1834,Santa Isabel,Calo,Leche Polvo Calo Entera 850 G,7179,Leche Entera,https://www.santaisabel.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-10-26,,850g calo calo entera leche polvo
1835,Santa Isabel,Calo,Leche Polvo Calo Entera 850 G,7179,Leche Entera,https://www.santaisabel.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-11-02,,850g calo calo entera leche polvo
1836,Jumbo,Calo,Leche Polvo Calo Entera 850 G,7229,Leche Entera,https://www.jumbo.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-10-01,,850g calo calo entera leche polvo
1837,Jumbo,Calo,Leche Polvo Calo Entera 850 G,7229,Leche Entera,https://www.jumbo.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-11-02,,850g calo calo entera leche polvo
1838,Jumbo,Calo,Leche Polvo Calo Entera 850 G,7229,Leche Entera,https://www.jumbo.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-10-26,,850g calo calo entera leche polvo
1839,Jumbo,Calo,Leche Polvo Calo Entera 850 G,7229,Leche Entera,https://www.jumbo.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-10-06,,850g calo calo entera leche polvo
1840,Jumbo,Calo,Leche Polvo Calo Entera 850 G,7229,Leche Entera,https://www.jumbo.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-11-11,,850g calo calo entera leche polvo
1841,Santa Isabel,Nido,Leche Polvo Nido Entera 800 G,7272,Leche Entera,https://www.santaisabel.cl/leche-en-polvo-entera-800-g-1930446/p,2024-11-02,,800g entera leche nido nido polvo
1842,Santa Isabel,Nido,Leche Polvo Nido Entera 800 G,7272,Leche Entera,https://www.santaisabel.cl/leche-en-polvo-entera-800-g-1930446/p,2024-11-11,,800g entera leche nido nido polvo
1843,Jumbo,Ilko,Rebanador De Porotos Ilko Basic,7290,Porotos,https://www.jumbo.cl/rebanador-de-porotos-ilko-basic-ilko-301510/p,2024-10-01,,basic ilko ilko porotos rebanador
1844,Jumbo,Ilko,Rebanador De Porotos Ilko Basic,7290,Porotos,https://www.jumbo.cl/rebanador-de-porotos-ilko-basic-ilko-301510/p,2024-10-06,,basic ilko ilko porotos rebanador
1845,Jumbo,Ilko,Rebanador De Porotos Ilko Basic,7290,Porotos,https://www.jumbo.cl/rebanador-de-porotos-ilko-basic-ilko-301510/p,2024-11-11,,basic ilko ilko porotos rebanador
1846,Jumbo,Ilko,Rebanador De Porotos Ilko Basic,7290,Porotos,https://www.jumbo.cl/rebanador-de-porotos-ilko-basic-ilko-301510/p,2024-10-26,,basic ilko ilko porotos rebanador
1847,Jumbo,Nido,Leche Polvo Nido Entera 800 G,7352,Leche Entera,https://www.jumbo.cl/leche-en-polvo-nido-entera-bolsa-800gr-1930446/p,2024-11-11,,800g entera leche nido nido polvo
1848,Jumbo,Nido,Leche Polvo Nido Entera 800 G,7352,Leche Entera,https://www.jumbo.cl/leche-en-polvo-nido-entera-bolsa-800gr-1930446/p,2024-11-02,,800g entera leche nido nido polvo
1849,Unimarc,Colun,Leche En Polvo Colun Entera Instantáneo Doypack 900 G,7390,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-entera-colun-900-gr,2024-11-11,,900g colun colun doypack en entera instantaneo leche polvo
